school_id,school,level_name,type_name,school_nature_name,f985,f211,dual_class_name,recommend_master_level(保研星级),num_doctor(博士点),num_master(硕士点),num_subject(国家重点学科),province_name(省份),city_name(城市),town_name(区县),address(学校地址),email(电子邮箱),phone(招生电话),site(官方网址),motto(校训),content(简介),ruanke_rank(软科综合排名),xyh_rank(校友会综合排名),qs_world(QS世界排名),us_rank(US世界排名),tws_china(泰晤士大陆排名)
120,中国石油大学（华东）,本科,理工类,公办,2,1,双一流,3,14,33,5,山东,青岛市,黄岛区,山东省青岛市黄岛区长江西路66号,zhaosheng@upc.edu.cn,0532-86983086,"https://zhaosheng.upc.edu.cn/, https://www.upc.edu.cn/",,中国石油大学（华东）是教育部直属全国重点大学，是国家“211工程”重点建设和开展“985工程优势学科创新平台”建设并建有研究生院的高校之一。学校是教育部和五大能源企业集团公司、教育部和山东省人民政府共建的高校，是石油石化高层次人才培养的重要基地，被誉为“石油科技、管理人才的摇篮”，现已成为一所以工为主、石油石化特色鲜明、多学科协调发展的大,60,79,0,497,52
119,重庆大学,本科,综合类,公办,1,1,双一流,3,37,48,22,重庆,重庆市,沙坪坝区,重庆市沙坪坝区沙正街174号,zhaosheng@cqu.edu.cn,"023-65102371,023-65102370","https://zhaosheng.cqu.edu.cn, https://www.cqu.edu.cn/",耐劳苦、尚俭朴、勤学业、爱国家,重庆大学是中央直管、教育部直属的全国重点大学。学校创办于1929年，提出建设“完备弘深之大学”的愿景，到20世纪40年代发展成为文理工商法医各学科齐全的综合性大学。经过1952年全国院系调整，成为以工科为主的多科性大学。1960年被确定为全国重点大学。改革开放后，学校进行了全面的恢复调整和改革建设，成为一所以工为主、多学科协调发展的高校，1998年获批国家“,33,32,489,245,26
118,苏州大学,本科,综合类,公办,2,1,双一流,2,31,47,4,江苏,苏州市,,"天赐庄校区：江苏省苏州市十梓街1号,独墅湖校区：江苏省苏州市工业园区仁爱路199号,阳澄湖校区:苏州市相城区济学路8号,未来校区:苏州市吴江区久泳西路1号",zsb@suda.edu.cn,"0512-67507943,0512-67507949","https://zsb.suda.edu.cn, https://www.suda.edu.cn/",养天地正气，法古今完人,苏州大学坐落于素有“人间天堂”之称的历史文化名城苏州，是国家“211工程”“2011计划”首批入列高校，是教育部与江苏省人民政府共建“双一流”建设高校、国家航天局共建高校，是江苏省属重点综合性大学。苏州大学前身是SoochowUniversity（东吴大学，1900年创办），开现代高等教育之先河，融中西文化之菁华，是中国最早以现代大学学科体系举办的大学。在中国高等教育,43,39,641-650,317,32
117,中国药科大学,本科,医药类,公办,2,1,双一流,2.5,4,8,1,江苏,南京市,鼓楼区,"玄武门校区：江苏省南京市鼓楼区中央路童家巷24号,江宁校区：江苏省南京市江宁区龙眠大道639号",zhaosheng@cpu.edu.cn,"025-83271319,025-83271422","https://zb.cpu.edu.cn, https://www.cpu.edu.cn/",,中国药科大学坐落于古都南京，始建于1936年，是我国历史上第一所由国家创办的药学高等学府。学校为教育部直属、国家“211工程”和“985工程优势学科创新平台”建设高校，是一所以药学为特色的多科性、研究型大学，其中以药学、中药学学科为龙头的药学学科群建设始终保持国内领先水平，素有“中国生物医药人才摇篮”的美誉。2017年，成为国家“双一流”建设高校。历,102,106,0,894,69
116,河海大学,本科,综合类,公办,2,1,双一流,2.5,20,42,0,江苏,南京市,江宁区,"西康路校区：江苏省南京市西康路1号  ,江宁校区：江苏省南京市佛城西路8号  ,常州校区：江苏省常州市河海大道1915号",,400-025-1915,"https://zsw.hhu.edu.cn/, https://www.hhu.edu.cn/",艰苦朴素、实事求是、严格要求、勇于探索,河海大学是一所拥有109年办学历史，以水利为特色，工科为主，多学科协调发展的教育部直属全国重点大学，是国家“双一流”建设、“211工程”重点建设、“985工程优势学科创新平台”建设以及经国家批准设立研究生院的高校。百余年来，学校在治水兴邦的奋斗历程中发展壮大，被誉为“水利高层次创新创业人才培养的摇篮和水利科技创新的重要基地”。学校在南京市、常,65,61,1001-1200,503,0
115,南京师范大学,本科,师范类,公办,2,1,双一流,2.5,23,40,6,江苏,南京市,栖霞区,江苏省南京市栖霞区文苑路1号,,025-83720759,"https://bkzs.njnu.edu.cn, https://www.njnu.edu.cn/",正德厚生、笃学敏行,南京师范大学是国家“双一流”建设高校和江苏高水平大学建设高校。学校的主源可追溯到1902年创办的三江师范学堂，该学堂是中国高等师范教育的发祥地之一。后历经两江优级师范学堂、南京高等师范学校、国立东南大学、国立第四中山大学、江苏大学、国立中央大学、国立南京大学等时期；其另一源头为1888年创办的汇文书院，后发展为金陵大学，1951年与金陵女子文理学,52,51,1001-1200,569,52
114,浙江大学,本科,综合类,公办,1,1,双一流,4.5,62,62,56,浙江,杭州市,西湖区,浙江省杭州市西湖区余杭塘路866号,zsc@zju.edu.cn,"0571-87951006,0571-88981979","https://zdzsc.zju.edu.cn, https://www.zju.edu.cn/",求是创新,浙江大学是一所历史悠久、声誉卓著的高等学府，坐落于中国历史文化名城、风景旅游胜地杭州。浙江大学的前身求是书院创立于1897年，为中国人自己最早创办的新式高等学校之一。1928年，定名国立浙江大学。抗战期间，浙大举校西迁，在贵州遵义、湄潭等地办学七年，1946年秋回迁杭州。1952年全国高等学校院系调整时，浙江大学部分系科转入兄弟高校和中国科学院，留在杭,3,4,47,51,5
113,南京农业大学,本科,农林类,公办,2,1,双一流,3,17,30,7,江苏,南京市,玄武区,江苏省南京市玄武区卫岗1号,zsb@njau.edu.cn,"025-84399789,025-84395708","https://zsxx.njau.edu.cn, https://www.njau.edu.cn/",,南京农业大学坐落于钟灵毓秀、虎踞龙蟠的古都南京，是一所以农业和生命科学为优势和特色，农、理、经、管、工、文、法学多学科协调发展的教育部直属全国重点大学，是国家“211工程”重点建设大学、“985优势学科创新平台”和“双一流”建设高校。现任校党委书记王春春，校长陈发棣。南京农业大学前身可溯源至1902年三江师范学堂农学博物科和1914年私立金陵大学农科,49,44,711-720,337,0
112,南京理工大学,本科,理工类,公办,2,1,双一流,3,20,35,9,江苏,南京市,玄武区,"南京校区：江苏省南京市玄武区孝陵卫街道孝陵卫街200号,江阴校区：江苏省江阴市福星路8号",,400-110-2882,"https://zsb.njust.edu.cn/, https://www.njust.edu.cn/",,南京理工大学是隶属于工业和信息化部的全国重点大学，学校由创建于1953年的新中国军工科技最高学府中国人民解放军军事工程学院（简称“哈军工”）分建而成，经历了中国人民解放军炮兵工程学院、华东工程学院、华东工学院等发展阶段，1993年更名为南京理工大学。1995年，学校成为国家首批“211工程”重点建设高校；2000年，获批成立研究生院；2011年，获批建设“985工程,37,37,565,489,0
111,南京大学,本科,综合类,公办,1,1,双一流,5,43,4,0,江苏,南京市,鼓楼区,"仙林校区：江苏省南京市仙林大道163号,鼓楼校区：江苏省南京市汉口路22号,浦口校区：南京市浦口区学府路8号,苏州校区：苏州市太湖大道1520号",bkzs@nju.edu.cn,400-1859680,"https://bkzs.nju.edu.cn, https://www.nju.edu.cn/",诚朴雄伟，励学敦行,南京大学是一所历史悠久、声誉卓著的高等学府。其前身是创建于1902年的三江师范学堂，此后历经两江师范学堂、南京高等师范学校、国立东南大学、国立第四中山大学、国立中央大学、国立南京大学等历史时期，于1950年更名为南京大学。1952年，在全国高校院系调整中，南京大学调整出工学、农学、师范等部分院系后与创办于1888年的金陵大学文、理学院等合并，仍名南京大,6,6,145,98,7
110,中国矿业大学,本科,综合类,公办,2,1,双一流,3,21,36,10,江苏,徐州市,铜山区,江苏省徐州市大学路1号,,"0516-83591555,0516-83591666","https://zs.cumt.edu.cn, https://www.cumt.edu.cn/",崇德尚学,中国矿业大学是教育部直属的全国重点高校，是教育部、应急管理部与江苏省人民政府共建高校，先后进入国家“211工程”“985优势学科创新平台项目”和国家“双一流”建设高校行列。学校为全国首批具有博士和硕士授予权的高校之一，设有国家批准的研究生院。学校现坐落于素有“五省通衢”之称的国家历史文化名城——江苏省徐州市，有文昌和南湖两个校园。学校现有2,54,68,681-690,560,0
109,东南大学,本科,综合类,公办,1,1,双一流,4,41,52,15,江苏,南京市,玄武区,江苏省南京市江宁区东南大学路2号,zhaoban@seu.edu.cn,025-52090271,"https://zsb.seu.edu.cn/, https://www.seu.edu.cn/",止于至善,东南大学坐落于六朝古都南京，是享誉海内外的著名高等学府。学校是国家教育部直属并与江苏省共建的全国重点大学，是国家“985工程”和“211工程”重点建设大学之一。2017年，东南大学入选世界一流大学建设A类高校名单。东南大学是一所历史悠久、底蕴深厚的大学。学校创建于1902年的三江师范学堂，后历经两江师范学堂、南京高等师范学校、国立东南大学、国立中央大,13,21,428,183,21
108,南昌大学,本科,综合类,公办,2,1,双一流,2,22,49,9,江西,南昌市,青山湖区,江西省南昌市红谷滩新区学府大道999号,834425@QQ.com,0791-88305092,"https://zjc.ncu.edu.cn/zs/, https://www.ncu.edu.cn/",格物致新 厚德泽人,南昌大学是国家“双一流”建设高校、教育部与江西省部省合建高校、江西省一流大学整体建设高校。学校地处“英雄城”南昌市，拥有前湖、青山湖、东湖3个校区，其中前湖主校区占地面积4264.54亩，校舍建筑面积150万平方米。学校前身江西医学院、江西大学和江西工业大学分别溯源于1921年创建的江西公立医学专门学校、1940年创建的国立中正大学和1958年创建的江西工学院。,71,47,0,612,0
107,西北工业大学,本科,理工类,公办,1,1,双一流,4,29,39,9,陕西,西安市,碑林区,"友谊校区：陕西省西安市友谊西路127号,长安校区：陕西省西安市长安区东祥路1号",ao@nwpu.edu.cn,029-88460206,"https://zsb.nwpu.edu.cn, https://www.nwpu.edu.cn/",公诚勇毅,西北工业大学（简称西工大）坐落于陕西西安，是一所以发展航空、航天、航海等领域人才培养和科学研究为特色的国家“双一流”建设高校，隶属于工业和信息化部。学校1960年被国务院确定为全国重点大学，“七五”“八五”均被国务院列为国家重点建设高校之一，1995年首批进入“211工程”，2001年进入“985工程”，2017年进入“一流大学”建设高校（A类）行列，是“卓越大,23,22,547,253,21
106,暨南大学,本科,综合类,公办,2,1,双一流,1.5,26,41,0,广东,广州市,天河区,"石牌校区：广东省广州市天河区黄埔大道西601号,番禺校区：广东省广州市番禺区兴业大道东855号,珠海校区：广东省珠海市前山路206号,深圳校区：中国深圳特区华侨城,广园东校区：广东省广州市天河区瘦狗岭路377号",ozsb@jnu.edu.cn,020-85220130,"https://zsb.jnu.edu.cn, https://www.jnu.edu.cn/",忠信笃敬,暨南大学是中国第一所由政府创办的华侨学府。“暨南”二字出自《尚书·禹贡》：“东渐于海，西被于流沙，朔南暨，声教讫于四海。”意即面向南洋，面向海外，将中华文化远播到五洲四海。学校目前是中央统战部、教育部、广东省人民政府共建的国家“双一流”建设高校，直属中央统战部管理。暨南大学是中国历史最悠久的大学之一。学校的前身是1906年清政府创立于南,51,38,580,408,32
105,华南理工大学,本科,综合类,公办,1,1,双一流,3,35,40,7,广东,广州市,天河区,"五山校区：广东省广州市天河区五山路381号,大学城校区：广东省广州市番禺区广州大学城外环东路382号,广州国际校区：广东省广州市番禺区兴业大道东777号",admit@scut.edu.cn,020-87110737,"https://admission.scut.edu.cn/, https://www.scut.edu.cn/",博学慎思，明辨笃行,华南理工大学地处广州，是直属教育部的全国重点大学，校园分为五山校区、大学城校区和广州国际校区，是首届“全国文明校园”获得单位。学校办学源远流长，最早可溯源至1918年成立的广东省立第一甲种工业学校（史称“红色甲工”）；正式组建于1952年全国高等院校调整时期，是新中国“四大工学院”之一；1960年成为全国重点大学；1981年经国务院批准为首批博士和硕士,30,23,385,187,17
104,中山大学,本科,综合类,公办,1,1,双一流,3.5,59,67,41,广东,广州市,,"广州校区南校园：广东省广州市海珠区新港西路135号,广州校区北校园：广东省广州市越秀区中山二路74号,广州校区东校园：广东省广州市番禺区大学城外环东路132号,珠海校区 ：广东省珠海市香洲区唐家湾,深圳校区：广东省深圳市光明区公常路66号",adado@mail.sysu.edu.cn,020-84036491,"https://admission.sysu.edu.cn, https://www.sysu.edu.cn/",博学 审问 慎思 明辨 笃行,中山大学是伟大的民族英雄、伟大的爱国主义者、中国民主革命的伟大先驱孙中山先生于1924年亲手创办，中国共产党早期领导人共同创建的大学，是中国传播马克思主义的重要发源地之一，具有优良革命传统、爱国奋斗精神和卓越品格追求。中山大学起初校名为国立广东大学。孙中山先生逝世后，学校于1926年定名为国立中山大学。今日的中山大学，由1952年院系调整后分设的,11,12,331,106,14
103,福州大学,本科,理工类,公办,2,1,双一流,2,14,39,1,福建,福州市,鼓楼区,福建省福州市福州大学城乌龙江北大道2号,fdzsb@fzu.edu.cn,"0591-22866857,0591-22867800","https://zsks.fzu.edu.cn/, https://www.fzu.edu.cn/",明德至诚 博学远志,福州大学是国家“双一流”建设高校、国家“211工程”重点建设大学、福建省人民政府与国家教育部共建高校。学校创建于1958年，现已发展成为一所以工为主、理工结合，理、工、经、管、文、法、艺、医等多学科协调发展的重点大学。建校以来，一代代福大人秉承“明德至诚，博学远志”校训，践行以张孤梅同志为代表的艰苦奋斗的创业精神、以卢嘉锡先生为代表的严谨求,81,66,0,425,52
102,厦门大学,本科,综合类,公办,1,1,双一流,3.5,42,4,22,福建,厦门市,思明区,福建省厦门市思明区思明南路422号,zs@xmu.edu.cn,0592-2188888,"https://zs.xmu.edu.cn/, https://www.xmu.edu.cn/",自强不息，止于至善,厦门大学（XiamenUniversity），简称厦大（XMU），由著名爱国华侨领袖陈嘉庚先生于1921年创办，是中国近代教育史上第一所华侨创办的大学，也是一所与中国共产党同龄的大学。在建校100周年之际，中共中央总书记、国家主席、中央军委主席习近平向学校发来贺信。贺信指出，厦门大学是一所具有光荣传统的大学。100年来，学校秉持爱国华侨领袖陈嘉庚先生的立校志向，形成了“,24,19,362,198,21
101,西南财经大学,本科,财经类,公办,2,1,双一流,2.5,9,4,4,四川,成都市,青羊区,"光华校区：四川省成都市光华村街55号,柳林校区：四川省成都市温江区柳台大道555号",zb@swufe.edu.cn,028-87092355,"https://zb.swufe.edu.cn/, https://www.swufe.edu.cn/",严谨 勤俭 求实 开拓,西南财经大学是教育部直属的国家“211工程”和“985工程”优势学科创新平台建设的全国重点大学，也是国家首批“双一流”建设高校。学校坐落于中国历史文化名城——“天府之国”成都，有光华、柳林两校区，辖地2300余亩。校园湖光柳影，芳草绿树，翩翩学者，蔚为大观，是著名的“园林式院校”，实乃读书治学的理想园地。学校始于1925年在上海创建的光华大学。1938年,70,73,0,474,0
100,四川农业大学,本科,农林类,公办,2,1,双一流,2,12,20,4,四川,成都市,温江区,"雅安校区：四川省雅安市雨城区新康路46号,成都校区：四川省成都市温江区惠民路211号,都江堰校区：四川省成都市都江堰市建设路288号",scndzs@163.com,"028-86290999,028-86291999","https://zs.sicau.edu.cn/, https://www.sicau.edu.cn",,四川农业大学是一所以生物科技为特色，农业科技为优势，多学科协调发展的国家“211工程”重点建设大学和国家“双一流”建设高校，也是教育部本科教学工作水平评估优秀高校。现任党委书记庄天慧教授、校长吴德教授。办学历史悠久、资源丰富。前身是1906年创办的四川通省农业学堂，此后历经四川高等农业学校(1912年)、四川公立农业专门学校(1914年)、公立四川大学农科,134,112,0,923,0
99,四川大学,本科,综合类,公办,1,1,双一流,3.5,53,0,46,四川,成都市,武侯区,"望江校区：四川省成都市一环路南一段24号,华西校区：四川省成都市人民南路三段17号,江安校区：四川省成都市双流区川大路",zs@scu.edu.cn,"028-86081605,028-86080605","https://zs.scu.edu.cn, https://www.scu.edu.cn/",海纳百川，有容乃大,岷峨挺秀，锦水含章。巍巍学府，德渥群芳。四川大学是教育部直属全国重点大学，是国家布局在中国西部的重点建设的高水平研究型综合大学，是国家“双一流”建设高校（A类）。四川大学地处中国历史文化名城——“天府之国”的成都，有望江、华西和江安三个校区，占地面积7050亩，校舍建筑面积281.66万平方米。学校正与眉山市合作共建四川大学眉山校区。校园环境幽雅,15,18,336,217,8
98,华南师范大学,本科,师范类,公办,2,1,双一流,1.5,20,33,4,广东,广州市,天河区,"石牌校区：广东省广州市天河区中山大道西55号,大学城校区：广东省广州市番禺区广州大学城外环西路378号,南海校区：广东省佛山市南海区桃园东路,汕尾校区：广东省汕尾市城区马宫街道香江大道西55号",zsb02@scnu.edu.cn,"020-85211098,020-85213484","https://zsb.scnu.edu.cn, https://www.scnu.edu.cn/",艰苦奋斗、严谨治学、求实创新、为人师表,华南师范大学是国家“双一流”建设高校、“211工程”重点建设大学、广东省和教育部共建高校及广东省高水平大学重点建设高校。现有“三校区四校园”，包括广州校区石牌校园、大学城校园，佛山校区南海校园和汕尾校区滨海校园，总占地面积5328亩。学校设4个学部、35个学院、9个研究院（中心）。华南师范大学办学史可溯源至1888年创建的格致书院、1905年创建的两广师范,79,59,0,622,38
97,兰州大学,本科,综合类,公办,1,1,双一流,4,27,47,8,甘肃,兰州市,城关区,甘肃省兰州市天水南路222号,zsb@lzu.edu.cn,"0931-5196678,0931-8912116","https://zsb.lzu.edu.cn, https://www.lzu.edu.cn/",自强不息、独树一帜,兰州大学是教育部直属全国重点综合性大学，在国家高等教育格局中具有重要战略地位，在国内外具有重要影响和良好声誉。学校创建于1909年，始为甘肃法政学堂，是中国西北地区第一个具有现代意义的高等学校。新中国成立后，在高等学校院系调整中，被确定为国家14所综合性大学之一。改革开放以来，先后入选“211工程”“985工程”建设高校。2017年，入选世界一流大学建,38,33,721-730,485,0
96,广西大学,本科,综合类,公办,2,1,双一流,1.5,19,38,2,广西,南宁市,西乡塘区,广西壮族自治区南宁市大学东路100号,zsk@gxu.edu.cn,0771-3232999,"https://zs.gxu.edu.cn, https://www.gxu.edu.cn/",,广西大学坐落于素有“中国绿城”之称的广西首府南宁，是广西唯一的国家“211工程”建设学校，“双一流”建设高校，教育部和广西壮族自治区人民政府“部区合建”高校。广西大学1928年成立于梧州，1939年成为国立广西大学，首任校长是被誉为教育界“北蔡南马”和“一代宗师”的我国著名教育家、科学家、民主革命家马君武博士，李四光、陈望道、李达、陈寅恪、梁漱溟,90,117,0,935,0
95,天津美术学院,本科,艺术类,公办,2,2,,,0,3,0,天津,天津市,河北区,"天纬路校区（天津市河北区天纬路4号）,志成路校区（天津市河北区志成路7号）",,"022-26241719,022-26242184","http://zsbgs.tjarts.edu.cn/index/bkzs.htm, http://www.tjarts.edu.cn",,天津美术学院前身为北洋女师范学堂，1906年由近代著名教育家傅增湘先生创办，是我国最早的公立高等学府之一。1959年发展为河北美术学院，成为独立建制的高等美术院校。1980年正式定名为天津美术学院，是一所学科专业齐全、实力雄厚的专业型高等美术院校，为我国独立设置的八所美术学院之一，为国家级人才培养模式创新实验区。学校坚持以习近平新时代中国特色社会,0,377,0,0,0
94,天津音乐学院,本科,艺术类,公办,2,2,,,0,3,0,天津,天津市,河东区,天津市河东区十四经路9号,zsb@tjcm.edu.cn,022-24160044,"https://www.tjcm.edu.cn/zsxx/bkzs.htm, https://www.tjcm.edu.cn/",,天津音乐学院前身是创办于天津的中央音乐学院。1958年10月，中央音乐学院迁址北京，留下部分师生员工，在该院原址成立了天津音乐学院(初名河北音乐学院，翌年更为现名)。首任院长为著名音乐教育家、理论家缪天瑞。1980年被国务院批准为全国首批有权授予硕士学位和学士学位的院校。建校以来，先后有许勇三、董兼济、陈振铎、吕水深、王莘、王域平、宋国生等一批著,0,393,0,0,0
93,天津农学院,本科,农林类,公办,2,2,,,0,9,0,天津,天津市,西青区,"东校区：天津市西青区津静路22号,西校区：天津市西青区津同路19号,蓟州校区：天津市蓟州区五百户镇青池1村",zhaosheng@tjau.edu.cn,"022-23799551,022-23792191","https://zjb.tjau.edu.cn/zsw.htm, https://www.tjau.edu.cn/",,天津农学院始建于1976年，是一所以服务“三农”、培养高素质应用型人才为基本办学定位的市属普通本科高校。2001年，天津市城乡经济学校并入该校。2006年获批为硕士学位授予单位。1996年首批通过国家教育部本科教学合格评价，2007年在教育部进行的本科教学工作水平评估中获得“优秀”。学校以农科为主体，农学、工学、管理学、理学、经济学、文学、艺术学协调发展。经,350,306,0,0,0
